id	datetime	time	program_name	compiler	base_opt	optimization_flags	width	height	cpu_name	cpu_mhz	cpu_cache	apic	vme
9ff417eb5b97d9a0807a2573c17d955c	2013-04-18 13:36:30	0.1533822155	symm	gcc	-O2	None	256	256	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17da331	2013-04-18 13:36:19	-0.0003456116	symm	gcc	-O2	None	4	4	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17dadaf	2013-04-18 13:36:17	0.0133817196	symm	gcc	-O2	None	128	128	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17db3fa	2013-04-18 13:36:15	0.0138859034	symm	gcc	-O2	None	128	128	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17dc069	2013-04-18 13:36:13	0.0005956888	symm	gcc	-O2	None	64	64	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17dca0b	2013-04-18 13:36:11	8.70943069458E-005	symm	gcc	-O2	None	4	4	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17dce82	2013-04-18 13:36:09	4.400683713	symm	gcc	-O2	None	512	512	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17dd891	2013-04-18 13:35:50	4.3627758741	symm	gcc	-O2	None	512	512	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17ddc52	2013-04-18 13:35:31	0.0005800962	symm	gcc	-O2	None	64	64	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17debec	2013-04-18 13:35:29	45.6287476778	symm	gcc	-O2	None	1024	1024	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17df614	2013-04-18 13:32:25	0.0009424281	symm	gcc	-O2	None	64	64	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17df7e8	2013-04-18 13:32:18	0.0004236913	symm	gcc	-O2	None	4	4	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17dfdfa	2013-04-18 13:32:12	-4.47487831116E-005	symm	gcc	-O2	None	16	16	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17e00c4	2013-04-18 13:32:05	0.0005173922	symm	gcc	-O2	None	32	32	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
9ff417eb5b97d9a0807a2573c17e07c3	2013-04-18 13:32:03	0.1472524881	symm	gcc	-O2	None	256	256	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True
